User ID Number,Gender,Seeking,Age,Profile Visits,Kisses,Fans,Country Name,Country Cordinates,User Country,City Cordinates,Last Known City Location,Location,lastOnlineDate,lastOnlineTime,User ID,Age Category
2243,F,M,23,373,21,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.4312∞ N, 6.9107∞ E",Montreux,Semsales,2015-04-05T22:08:15Z,1428271695,5510749cc96da1b4068b47ce,Early Twenties
2244,F,M,22,1283,23,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Alpenrod,2015-04-06T16:13:37Z,1428336817,550f47e9c56da15b618b471b,Early Twenties
2245,F,M,23,965,18,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Trier,2015-04-06T14:52:11Z,1428331931,55106ae6190ba06c588b4784,Early Twenties
2246,F,M,21,591,32,0,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Thonon-les-Bains,2015-04-08T15:33:21Z,1428507201,55107a421c0ba0a1418b4695,Early Twenties
2247,F,M,22,159,3,0,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Doucier,2015-04-08T13:36:32Z,1428500192,550f5b1ec86da165878b4b07,Early Twenties
2248,F,M,23,1008,38,212,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.4988∞ N, 8.7237∞ E",Winterthur,Wiler bei Utzenstorf,2015-04-07T07:57:52Z,1428393472,550f5c5e0b6ea17f588b47a9,Early Twenties
2249,F,M,23,2845,159,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Stuttgart,2015-04-06T16:18:55Z,1428337135,55182f53ea6da1597b8b4578,Early Twenties
2250,F,M,23,152,16,0,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Bl√©nod-l√®s-Toul,2015-04-06T15:56:35Z,1428335795,550fa78d1a0ba09e6f8b4d71,Early Twenties
2251,F,M,25,355,27,3,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Vacheresse,2015-05-03T09:27:57Z,1430645277,550fb3afe66da11c9f8b4573,Late Twenties
2252,F,M,19,1323,128,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.5346∞ N, 6.6052∞ E",Prilly,Morges,2015-04-26T10:49:03Z,1430045343,550fbcac170ba0c4178b4a9d,Early Twenties
2253,F,M,24,1240,58,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.4312∞ N, 6.9107∞ E",Montreux,Bern,2015-04-07T09:58:04Z,1428400684,550fc6a61c0ba06f928b48d6,Early Twenties
